database_title,description,date_added,url,# Do not add other column labs to the right of the tags column. All unnamed columns containing data will be interpretted as tags.,tags,,,,,,,
AsDB 1998-2005 Geocoded Research Release Level 1 Version 1.0,"This dataset captures 2,935 georeferenced Asian Development Bank-financed projects in 16,093 locations that took place between 1998 and 2005.",4/5/23,https://www.aiddata.org/data/asdb-1998-2005-geocodedresearchrelease-level1-v1-0,,AidData,AsDB,geocode,finance,GIS,,,
"China’s Public Diplomacy in East Asia and Pacific, Version 1.0","This dataset provides an initial quantitative look into China’s public diplomacy activities in the East Asia and Pacific region between 2000-2016, as featured in the Ties That Bind report.",4/5/23,https://www.aiddata.org/data/chinas-public-diplomacy-in-east-asia-and-pacific,,AidData,diplomacy,international relations,,,,,
"Western Uganda Budget in Three Sectors Geocoded Research Release Level 1, Version 1.0.0","This georeferenced dataset tracks 8,697 locations of 8,335 projects in the health, education, and environment sectors in 2015, extracted from Uganda's Ministry of Finance, Planning and Economic Development.",4/5/23,https://www.aiddata.org/data/western-uganda-budget-3sectors-geocodedresearchrelease-level1-v1-0-0,,AidData,Uganda,geocode,GIS,budget,finance,development,
"Financing to the SDGs Dataset, Version 1.0","This dataset provides project-level data on estimated Official Development Assistance (ODA) commitments to the 17 Sustainable Development Goals (SDGs) from 2000 to 2013, tracking more than $1.5 trillion in financing cross-walked to the SDGs from 1.2 million ODA projects in AidData's Core Research Release 3.1.",4/5/23,https://www.aiddata.org/data/financing-to-the-sdgs-dataset,,AidData,Sustainable Development Goals (SDGs),,development,,,,
"Sierra Leone AIMS Geocoded Research Release, Version 1.0","This dataset includes geocoded projects from Sierra Leone's Development Assistance Database (DAD). This dataset tracks more than $3.3 billion in commitments for 856 projects across 2,314 locations between 1992 and 2014.",4/5/23,https://www.aiddata.org/data/sierra-leone-aims-geocoded-research-release-level-1-v1-0,,AidData,Sierra Leone,geocode,GIS,development,AIMS,,
"Burundi AIMS Geocoded Research Release, Version 1.0","This dataset includes all geocoded projects in Burundi's Development Assistance Databased (DAD). It tracks more than $5.8 billion in commitments for 930 projects across 7,562 locations between 1988 and 2014.",4/5/23,https://www.aiddata.org/data/burundi-aims-geocoded-research-release-level-1-v1-0,,AidData,Burundi,geocode,GIS,development,AIMS,,
"Geocoded Afrobarometer Data, Version 1.0","This subnationally geocoded dataset, available via request from Afrobarometer, covers Rounds One through Six of Afrobarometer's surveys in 37 African countries between 1999 and 2015. It provides hyperlocal, time-varying information about the priorities, preferences, experiences, and opinions of more than 200,000 African citizens in 28,000 localities.",4/5/23,https://www.aiddata.org/data/geocoded-afrobarometer-data-v1,,AidData,barometer,Afrobarometer,geocode,GIS,,,
"World Bank Geocoded Research Release, Version 1.4.2","This geocoded dataset includes all projects approved from 1995-2014 in the World Bank IBRD/IDA lending lines. It tracks more than $630 billion in commitments for 5,684 projects across 61,243 locations.",4/5/23,https://www.aiddata.org/data/world-bank-geocoded-research-release-level-1-v1-4-2,,AidData,World Bank,debt,development,geocode,GIS,,
The 2014 Reform Efforts Survey Aggregate Dataset,"This large-scale survey collects feedback on development priorities, progress and performance from the perspectives of more than 6,000 policymakers, practitioners and leaders in 126 low- and middle-income countries.",4/5/23,https://www.aiddata.org/data/the-2014-reform-efforts-survey-aggregate-dataset,,AidData,leadership,survey,,,,,
"AidData's Chinese Official Finance to Africa Dataset, 2000-2012, Version 1.1.1","This is a sub-nationally georeferenced dataset of Chinese official finance activities that spans 50 African countries over the 2000-2012 period. It includes 1,952 Chinese development finance projects across 3,545 physical locations.",4/5/23,https://www.aiddata.org/data/aiddatas-chinese-official-finance-to-africa-dataset-version-1-1-1,,AidData,China,Africa,finance,geocode,GIS,,
"Chinese Official Finance in Ecologically Sensitive Areas Geocoded Research Release, Version 1.0.1","This sub-nationally georeferenced dataset of Chinese official finance activities between 2000 and 2014 tracks $149,159,306,133.72 of commitments in three ecologically sensitive regions -- the Tropical Andes in South America, the Great Lakes of Africa, and the Mekong Delta in Southeast Asia.",4/5/23,https://www.aiddata.org/data/chinese-official-finance-ecological-sensitive-geocoded-research-release-level-1-v1-0-1,,AidData,China,environment,finance,development,geocode,GIS,
"Liberia Concessions Geocoded Research Release, Version 1.0","This first-of-its-kind geocoded dataset contains all known natural resource concessions granted to investors in Liberia from 2004 to 2015, categorized on 43 different dimensions. The release contains 557 concession licenses sourced from both official systems and transparency initiatives in Liberia, along with additional information collected using AidData's TUFF open-source data collection methodology.",4/5/23,https://www.aiddata.org/data/liberia-concessions-geocoded-research-release-level-1-v-1-0,,AidData,Liberia,geocode,GIS,natural resources,development,,
"AidData Core Research Release, Version 3.1","AidData's Core Research Release 3.1 is a corrected snapshot of AidData's entire project-level database from April 2016. This database includes commitment information for over 1.5 million development finance activities funded between 1947 and 2013, covers 96 donors, and includes ODA, OOF flows, Equity Investments, and Export Credits where available.",4/5/23,https://www.aiddata.org/data/aiddata-core-research-release-level-1-3-1,,AidData,development,finance,geocode,GIS,,,
"FTS Central African Republic Geocoded Research Release, Version 1.0","This dataset contains all geocoded projects in the 2013 funding appeal from UNOCHA's Financial Tracking Service (FTS) 'Central African Republic 2013' source dataset. It tracks $102,801,363.00 in geocoded disbursements spread across 179 geocoded projects in 445 locations.",4/5/23,https://www.aiddata.org/data/fts-central-african-republic-geocoded-research-release-level-1-v-1-0,,AidData,geocode,GIS,Central African Republic,,,,
